text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
8200,10,0.000403696,20,0.000439502,30,0.000444547,40,0.000440758,50,0.000441051,60,0.000442761,70,0.000437606,80,0.000402325,90,0.000402394,100,0.000426749
8300,10,0.000409292,20,0.00045263,30,0.000444076,40,0.000446092,50,0.000445817,60,0.000447657,70,0.000443089,80,0.000408763,90,0.000407624,100,0.00040778
8400,10,0.000414186,20,0.00045014,30,0.000455254,40,0.00045221,50,0.000450795,60,0.000453689,70,0.000448433,80,0.000412663,90,0.000413295,100,0.000412134
8500,10,0.000419175,20,0.000461791,30,0.000455246,40,0.000457357,50,0.000456814,60,0.000459912,70,0.000453878,80,0.000417346,90,0.000418507,100,0.000418173
8600,10,0.000423558,20,0.000461599,30,0.00046525,40,0.000463922,50,0.000462041,60,0.00047149,70,0.000458419,80,0.000422265,90,0.000423669,100,0.000422553
8700,10,0.00042856,20,0.000471559,30,0.000468078,40,0.00046826,50,0.000466809,60,0.000470467,70,0.000463761,80,0.000427796,90,0.000427797,100,0.000427536
8800,10,0.000432666,20,0.000475473,30,0.000477125,40,0.00047339,50,0.000472494,60,0.000476792,70,0.000475628,80,0.000434591,90,0.000432052,100,0.000433741
8900,10,0.000437664,20,0.000481783,30,0.000476727,40,0.000479852,50,0.000476857,60,0.0004799,70,0.000474306,80,0.000438218,90,0.00043892,100,0.00043667
9000,10,0.000443504,20,0.000486484,30,0.000488184,40,0.000485603,50,0.000484764,60,0.00048985,70,0.000481822,80,0.000442974,90,0.000442094,100,0.00044399
9100,10,0.000452798,20,0.000494404,30,0.000488018,40,0.000489674,50,0.000488698,60,0.00049538,70,0.000487149,80,0.000449896,90,0.00044688,100,0.000446761
9200,10,0.000453513,20,0.000495258,30,0.000498614,40,0.000500261,50,0.000495757,60,0.000497839,70,0.000491086,80,0.000452402,90,0.000451892,100,0.000451802
9300,10,0.000458055,20,0.000505198,30,0.000501574,40,0.000500383,50,0.000499265,60,0.000505495,70,0.000497137,80,0.00045825,90,0.0004571,100,0.000455556
9400,10,0.000463702,20,0.000507094,30,0.000509924,40,0.000507853,50,0.000499973,60,0.000509533,70,0.000501407,80,0.000461346,90,0.000462173,100,0.000463418
9500,10,0.000469761,20,0.000512189,30,0.000511343,40,0.000511444,50,0.000518699,60,0.000520325,70,0.000507436,80,0.000471498,90,0.000468162,100,0.000467443
9600,10,0.000473999,20,0.000515779,30,0.000521177,40,0.000515946,50,0.000518387,60,0.000520171,70,0.000513107,80,0.000472722,90,0.000471346,100,0.000473715
9700,10,0.000477637,20,0.000524729,30,0.000523477,40,0.000522949,50,0.000521341,60,0.000526445,70,0.000518207,80,0.000476897,90,0.000478261,100,0.000476268
9800,10,0.000482992,20,0.000527304,30,0.000530881,40,0.000527497,50,0.000527615,60,0.000529957,70,0.000523771,80,0.000486149,90,0.000481208,100,0.000483285
9900,10,0.000487458,20,0.000543199,30,0.000529963,40,0.000533151,50,0.000535265,60,0.000541333,70,0.000529979,80,0.000488287,90,0.000492448,100,0.00048825
10000,10,0.000493557,20,0.000536271,30,0.000544022,40,0.000539625,50,0.000538623,60,0.00054248,70,0.000534786,80,0.000492175,90,0.000492481,100,0.000492243
