text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
7600,10,0.000146844,20,0.000148753,30,0.000149425,40,0.000151959,50,0.00014891,60,0.000149196,70,0.000150991,80,0.000151906,90,0.000151131,100,0.000150337
7700,10,0.000148909,20,0.000149381,30,0.000151377,40,0.0001501,50,0.00015175,60,0.000149698,70,0.000154432,80,0.000154077,90,0.000154587,100,0.000154096
7800,10,0.000150437,20,0.00015135,30,0.000151185,40,0.000153692,50,0.000153086,60,0.000153911,70,0.000153271,80,0.000155394,90,0.000156246,100,0.000154653
7900,10,0.000152856,20,0.000152405,30,0.000153637,40,0.000154028,50,0.000159446,60,0.000157635,70,0.000154931,80,0.000156522,90,0.000157392,100,0.000158896
8000,10,0.000154107,20,0.000155236,30,0.000156594,40,0.000155539,50,0.000158765,60,0.000156787,70,0.000158335,80,0.000158983,90,0.000159259,100,0.000160586
8100,10,0.000155811,20,0.000157549,30,0.000157204,40,0.000159007,50,0.000158782,60,0.000160439,70,0.000161705,80,0.000159808,90,0.000161467,100,0.000160654
8200,10,0.000159482,20,0.000158995,30,0.000160443,40,0.000159662,50,0.000162526,60,0.000161712,70,0.000161462,80,0.000162314,90,0.000165317,100,0.000162815
8300,10,0.000159762,20,0.000160888,30,0.000165314,40,0.000161462,50,0.000161945,60,0.000162285,70,0.000164033,80,0.000164813,90,0.000162826,100,0.00016642
8400,10,0.000161991,20,0.000161976,30,0.000164418,40,0.000163731,50,0.000163092,60,0.000164865,70,0.000164819,80,0.000168161,90,0.000166614,100,0.0001662
8500,10,0.000164113,20,0.00016473,30,0.000165354,40,0.000166775,50,0.000166176,60,0.00016735,70,0.000167518,80,0.000168337,90,0.000172482,100,0.000168038
8600,10,0.000166323,20,0.000166719,30,0.000167128,40,0.000167907,50,0.000172406,60,0.000168987,70,0.000180754,80,0.000171899,90,0.000169229,100,0.000173777
8700,10,0.000168126,20,0.00016789,30,0.000168714,40,0.000172209,50,0.000169784,60,0.000171431,70,0.000173144,80,0.00017147,90,0.000171926,100,0.000173934
8800,10,0.000169806,20,0.000170646,30,0.000170477,40,0.000171463,50,0.000172068,60,0.000171019,70,0.000175006,80,0.000174413,90,0.000173725,100,0.000174198
8900,10,0.000172176,20,0.000171856,30,0.0001745,40,0.000174333,50,0.00017614,60,0.000175986,70,0.00017464,80,0.000175522,90,0.000176725,100,0.000176803
9000,10,0.000175366,20,0.000173779,30,0.00017419,40,0.000175103,50,0.000177144,60,0.000176056,70,0.000178373,80,0.000177511,90,0.0001791,100,0.000179198
9100,10,0.000175346,20,0.000177268,30,0.000176687,40,0.000177621,50,0.000179606,60,0.000178632,70,0.000179205,80,0.000183304,90,0.000180735,100,0.000180032
9200,10,0.000177337,20,0.000178113,30,0.000177592,40,0.000180462,50,0.000181389,60,0.000182273,70,0.000180992,80,0.000180045,90,0.000181699,100,0.000182822
9300,10,0.000179161,20,0.000180846,30,0.000180316,40,0.000182485,50,0.000182139,60,0.000183129,70,0.00018242,80,0.000182729,90,0.000183757,100,0.000183585
9400,10,0.00018331,20,0.000182606,30,0.00018293,40,0.000184175,50,0.000185392,60,0.000183563,70,0.000185377,80,0.00018449,90,0.000185786,100,0.000185296
9500,10,0.000184836,20,0.000183729,30,0.00018405,40,0.000185606,50,0.000185436,60,0.000188615,70,0.000190505,80,0.000187738,90,0.000195554,100,0.000188275
9600,10,0.000184902,20,0.000185937,30,0.000187058,40,0.000186547,50,0.000188283,60,0.000187649,70,0.000189431,80,0.000187406,90,0.000188932,100,0.000189478
9700,10,0.000187183,20,0.000188169,30,0.000188508,40,0.000188776,50,0.000189701,60,0.000194191,70,0.000191586,80,0.000191573,90,0.00019239,100,0.000192124
9800,10,0.000189129,20,0.000191132,30,0.00019291,40,0.000190898,50,0.00019311,60,0.000192388,70,0.000192651,80,0.000192899,90,0.000193022,100,0.000194867
9900,10,0.000190549,20,0.000193801,30,0.000192331,40,0.000192238,50,0.000193655,60,0.000195427,70,0.000194955,80,0.000196228,90,0.00019706,100,0.000197466
10000,10,0.000192899,20,0.000193783,30,0.000194122,40,0.000195482,50,0.000194539,60,0.000198179,70,0.000197265,80,0.000200108,90,0.000196316,100,0.000196394
