text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
6200,10,1.77983e-05,20,1.14241e-05,30,1.05255e-05,40,1.06462e-05,50,9.0608e-06,60,8.373e-06,70,9.1196e-06,80,9.9368e-06,90,9.5312e-06,100,1.03224e-05
6300,10,1.86148e-05,20,1.21851e-05,30,1.0326e-05,40,1.02217e-05,50,9.6636e-06,60,8.2406e-06,70,9.0322e-06,80,1.00006e-05,90,9.5948e-06,100,1.01857e-05
6400,10,1.84505e-05,20,1.21498e-05,30,1.00524e-05,40,9.3373e-06,50,8.9454e-06,60,9.4764e-06,70,9.1789e-06,80,9.6738e-06,90,9.2288e-06,100,1.05782e-05
6500,10,1.88063e-05,20,1.36013e-05,30,1.02017e-05,40,1.01583e-05,50,9.7801e-06,60,9.2078e-06,70,1.07874e-05,80,8.7027e-06,90,9.3691e-06,100,9.8729e-06
6600,10,1.92705e-05,20,1.25403e-05,30,1.02963e-05,40,9.9353e-06,50,1.03574e-05,60,9.8396e-06,70,9.7666e-06,80,9.5026e-06,90,1.06271e-05,100,9.7585e-06
6700,10,1.97013e-05,20,1.31964e-05,30,1.11017e-05,40,1.02562e-05,50,9.7204e-06,60,9.3606e-06,70,9.8783e-06,80,1.03292e-05,90,8.7291e-06,100,1.04884e-05
6800,10,1.93295e-05,20,1.35919e-05,30,1.15961e-05,40,1.04494e-05,50,9.5005e-06,60,1.03142e-05,70,9.4884e-06,80,9.5507e-06,90,9.3926e-06,100,1.00047e-05
6900,10,2.02913e-05,20,1.5748e-05,30,1.12351e-05,40,9.9583e-06,50,1.07383e-05,60,1.00192e-05,70,1.00661e-05,80,1.04484e-05,90,9.8538e-06,100,1.02963e-05
7000,10,2.04614e-05,20,1.40134e-05,30,1.11631e-05,40,1.03903e-05,50,9.8534e-06,60,1.01623e-05,70,9.6141e-06,80,1.0934e-05,90,9.8602e-06,100,1.00112e-05
7100,10,2.08798e-05,20,1.3652e-05,30,1.14745e-05,40,1.06381e-05,50,1.00494e-05,60,1.06686e-05,70,9.691e-06,80,9.771e-06,90,1.02182e-05,100,1.00408e-05
7200,10,2.05414e-05,20,1.35154e-05,30,1.17146e-05,40,9.5905e-06,50,1.00668e-05,60,1.01206e-05,70,9.4024e-06,80,1.03056e-05,90,1.04834e-05,100,1.02868e-05
7300,10,2.08912e-05,20,1.34752e-05,30,1.16758e-05,40,1.12971e-05,50,1.00203e-05,60,1.03784e-05,70,1.00641e-05,80,1.05323e-05,90,1.05104e-05,100,1.0333e-05
7400,10,2.10529e-05,20,1.37171e-05,30,1.13768e-05,40,1.13275e-05,50,1.02814e-05,60,1.0105e-05,70,1.00984e-05,80,1.06625e-05,90,1.07624e-05,100,1.02235e-05
7500,10,2.12782e-05,20,1.57028e-05,30,1.14376e-05,40,1.3103e-05,50,1.04603e-05,60,1.14081e-05,70,9.9018e-06,80,9.594e-06,90,1.08615e-05,100,1.00858e-05
7600,10,2.13621e-05,20,1.4175e-05,30,1.15819e-05,40,1.10352e-05,50,1.08193e-05,60,1.15097e-05,70,1.12886e-05,80,1.04242e-05,90,1.02277e-05,100,1.26278e-05
7700,10,2.18896e-05,20,1.43245e-05,30,1.27648e-05,40,1.16264e-05,50,1.11933e-05,60,1.10167e-05,70,1.05871e-05,80,1.27562e-05,90,9.142e-06,100,1.1277e-05
7800,10,2.22884e-05,20,1.39922e-05,30,1.19461e-05,40,1.11571e-05,50,1.1105e-05,60,1.08262e-05,70,1.11164e-05,80,1.12364e-05,90,1.10605e-05,100,1.01463e-05
7900,10,2.27252e-05,20,1.43922e-05,30,1.24747e-05,40,1.18083e-05,50,1.13849e-05,60,1.06609e-05,70,1.13616e-05,80,1.07603e-05,90,1.08072e-05,100,1.08936e-05
8000,10,2.28264e-05,20,1.49427e-05,30,1.2645e-05,40,1.17631e-05,50,1.13177e-05,60,1.0268e-05,70,1.10731e-05,80,1.10051e-05,90,1.00402e-05,100,1.12464e-05
8100,10,2.30486e-05,20,1.50351e-05,30,1.26284e-05,40,1.19636e-05,50,1.11185e-05,60,1.13218e-05,70,1.02925e-05,80,1.11098e-05,90,1.05199e-05,100,1.08913e-05
8200,10,2.33684e-05,20,1.47353e-05,30,1.26474e-05,40,1.23333e-05,50,1.12467e-05,60,1.14765e-05,70,1.20474e-05,80,1.1101e-05,90,1.12123e-05,100,1.06665e-05
8300,10,2.34219e-05,20,1.56321e-05,30,1.26081e-05,40,1.21111e-05,50,1.19066e-05,60,1.09264e-05,70,1.12552e-05,80,1.06658e-05,90,1.12885e-05,100,1.06744e-05
8400,10,2.3571e-05,20,1.48079e-05,30,1.33129e-05,40,1.16372e-05,50,1.39572e-05,60,1.18958e-05,70,1.18676e-05,80,1.19305e-05,90,1.07258e-05,100,1.19631e-05
8500,10,2.4358e-05,20,1.53301e-05,30,1.49261e-05,40,1.23087e-05,50,1.13864e-05,60,1.19748e-05,70,1.21864e-05,80,1.14774e-05,90,1.14549e-05,100,1.18991e-05
8600,10,2.48951e-05,20,1.598e-05,30,1.38684e-05,40,1.24593e-05,50,1.25734e-05,60,1.1498e-05,70,1.07118e-05,80,1.18405e-05,90,1.11557e-05,100,1.06062e-05
8700,10,2.48591e-05,20,1.57209e-05,30,1.3605e-05,40,1.22419e-05,50,1.16586e-05,60,1.08554e-05,70,1.18653e-05,80,1.1839e-05,90,1.12987e-05,100,1.17836e-05
